date,title,amount
2025-08-28,Conveniencia Eccomani,38.37
2025-08-27,Emporiumhispa,16.00
2025-08-26,Jeronimocuiabacpa,83.00
2025-08-26,Comper,97.51
2025-08-26,Orvalho,49.50
2025-08-26,Orvalho,35.20
2025-08-26,56991717roberta,24.00
2025-08-24,Comper,32.03
2025-08-23,Hotelmatogrosso,16.00
2025-08-23,Comper,189.20
2025-08-22,Amazon Prime Canais,27.90
2025-08-20,Shell Box - NuPay,130.82
2025-08-17,Cabeca'S Barbearia,35.00
2025-08-17,Carlos Aparecido Gama,19.27
2025-08-16,Neo Brasil Alimentos L,93.80
2025-08-13,Amazon,40.79
2025-08-12,Shell Box - NuPay,242.82
2025-08-11,Mercadopago *Mercadol,26.39
2025-08-10,Dm*Spotify,34.90
2025-08-08,Sul America Seg Vida,136.41
2025-08-06,Mercadopago *Bonettia,167.60
2025-08-05,Amazon,85.89
2025-08-03,Amazon,30.04
2025-08-01,Pagamento recebido,-1668.90
2025-07-31,Cartao de Todos Jul,30.90
2025-07-29,Mercadolivre*9produto - Parcela 4/10,81.69
2025-07-29,Bradesco Auto Re - Parcela 8/8,43.83
